image_path,label
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_162.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_163.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_164.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_165.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_166.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_167.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_168.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_169.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_170.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144104_cell_171.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_138.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_139.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_140.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_141.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_142.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_143.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144348_cell_144.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_157.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_158.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_159.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_160.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_161.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_144823_cell_162.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_162.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_163.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_164.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_165.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_166.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145042_cell_167.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_163.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_164.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_165.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_166.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_167.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_168.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145422_cell_169.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_144.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_145.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_146.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_147.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_148.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_149.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_150.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145609_cell_151.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_167.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_168.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_169.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_170.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_171.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_172.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_173.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_174.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_145938_cell_175.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_150041_cell_146.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_150041_cell_147.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_150041_cell_148.png,Parasitized
Parasitized_train/C100P61ThinF_IMG_20150918_150041_cell_149.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_61.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_62.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_63.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_64.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_65.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_66.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_67.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_68.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_69.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_70.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_71.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_72.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_73.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_74.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_75.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_76.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_77.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_78.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_79.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_80.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_81.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_82.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_83.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_84.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_85.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151006_cell_86.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_68.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_69.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_70.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_71.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_72.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_73.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_74.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_75.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_76.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_77.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_78.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_79.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_80.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_81.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_82.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_83.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_84.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_85.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_86.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_87.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151149_cell_88.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_100.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_74.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_75.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_76.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_77.png,Parasitized
Parasitized_train/C101P62ThinF_IMG_20150918_151239_cell_78.png,Parasitized
